음식데이터 분류,,,,,
대분류코드,대분류구분,중분류코드,중분류구분,소분류코드,소분류구분
01,밥류,011,쌀밥류,01011001,쌀밥
01,밥류,012,잡곡밥류,01012001,기타잡곡밥
01,밥류,012,잡곡밥류,01012002,콩밥
01,밥류,012,잡곡밥류,01012003,보리밥
01,밥류,012,잡곡밥류,01012004,돌솥밥
01,밥류,012,잡곡밥류,01012005,현미밥
01,밥류,012,잡곡밥류,01012006,흑미밥
01,밥류,013,채소밥류,01013001,감자밥
01,밥류,013,채소밥류,01013002,곤드레밥
01,밥류,014,"비빔밥,볶음밥류",01014001,김치볶음밥
01,밥류,014,"비빔밥,볶음밥류",01014002,주먹밥
01,밥류,014,"비빔밥,볶음밥류",01014003,볶음밥
01,밥류,014,"비빔밥,볶음밥류",01014004,일반비빔밥
01,밥류,014,"비빔밥,볶음밥류",01014005,전주비빔밥
01,밥류,014,"비빔밥,볶음밥류",01014006,삼선볶음밥
01,밥류,014,"비빔밥,볶음밥류",01014007,새우볶음밥
01,밥류,014,"비빔밥,볶음밥류",01014008,알밥
01,밥류,014,"비빔밥,볶음밥류",01014009,산채비빔밥
01,밥류,014,"비빔밥,볶음밥류",01014010,오므라이스
01,밥류,014,"비빔밥,볶음밥류",01014011,육회비빔밥
01,밥류,014,"비빔밥,볶음밥류",01014012,해물볶음밥
01,밥류,014,"비빔밥,볶음밥류",01014013,열무비빔밥
01,밥류,015,"덮밥,국밥류",01015002,불고기덮밥
01,밥류,015,"덮밥,국밥류",01015003,소고기국밥
01,밥류,015,"덮밥,국밥류",01015004,송이덮밥
01,밥류,015,"덮밥,국밥류",01015005,오징어덮밥
01,밥류,015,"덮밥,국밥류",01015006,자장밥
01,밥류,015,"덮밥,국밥류",01015007,잡채밥
01,밥류,015,"덮밥,국밥류",01015008,잡탕밥
01,밥류,015,"덮밥,국밥류",01015009,장어덮밥
01,밥류,015,"덮밥,국밥류",01015010,제육덮밥
01,밥류,015,"덮밥,국밥류",01015011,짬뽕밥
01,밥류,015,"덮밥,국밥류",01015012,순대국밥
01,밥류,015,"덮밥,국밥류",01015013,카레라이스
01,밥류,015,"덮밥,국밥류",01015014,전주콩나물국밥
01,밥류,015,"덮밥,국밥류",01015015,해물덮밥
01,밥류,015,"덮밥,국밥류",01015016,회덮밥
01,밥류,015,"덮밥,국밥류",01015017,소머리국밥
01,밥류,015,"덮밥,국밥류",01015018,돼지국밥
01,밥류,015,"덮밥,국밥류",01015019,하이라이스
01,밥류,016,김밥/초밥,01016001,김치김밥
01,밥류,016,김밥/초밥,01016002,농어초밥
01,밥류,016,김밥/초밥,01016003,문어초밥
01,밥류,016,김밥/초밥,01016004,새우초밥
01,밥류,016,김밥/초밥,01016005,새우튀김롤
01,밥류,016,김밥/초밥,01016006,샐러드김밥
01,밥류,016,김밥/초밥,01016007,광어초밥
01,밥류,016,김밥/초밥,01016008,소고기김밥
01,밥류,016,김밥/초밥,01016009,갈비삼각김밥
01,밥류,016,김밥/초밥,01016010,연어롤
01,밥류,016,김밥/초밥,01016011,연어초밥
01,밥류,016,김밥/초밥,01016012,유부초밥
01,밥류,016,김밥/초밥,01016013,장어초밥
01,밥류,016,김밥/초밥,01016014,참치김밥
01,밥류,016,김밥/초밥,01016015,참치마요삼각김밥
01,밥류,016,김밥/초밥,01016017,치즈김밥
01,밥류,016,김밥/초밥,01016018,캘리포니아롤
01,밥류,016,김밥/초밥,01016019,한치초밥
01,밥류,016,김밥/초밥,01016020,일반김밥
02,"면, 만두류",021,면류,02011001,간자장
02,"면, 만두류",021,면류,02011002,굴짬뽕
02,"면, 만두류",021,면류,02011003,기스면
02,"면, 만두류",021,면류,02011004,김치라면
02,"면, 만두류",021,면류,02011005,김치우동
02,"면, 만두류",021,면류,02011006,김치말이국수
02,"면, 만두류",021,면류,02011007,닭칼국수
02,"면, 만두류",021,면류,02011008,들깨칼국수
02,"면, 만두류",021,면류,02011009,떡라면
02,"면, 만두류",021,면류,02011010,라면
02,"면, 만두류",021,면류,02011011,막국수
02,"면, 만두류",021,면류,02011012,메밀국수
02,"면, 만두류",021,면류,02011013,물냉면
02,"면, 만두류",021,면류,02011014,비빔국수
02,"면, 만두류",021,면류,02011015,비빔냉면
02,"면, 만두류",021,면류,02011016,삼선우동
02,"면, 만두류",021,면류,02011017,삼선자장면
02,"면, 만두류",021,면류,02011018,삼선짬뽕
02,"면, 만두류",021,면류,02011019,수제비
02,"면, 만두류",021,면류,02011020,쌀국수
02,"면, 만두류",021,면류,02011021,열무김치국수
02,"면, 만두류",021,면류,02011023,오일소스스파게티
02,"면, 만두류",021,면류,02011024,일식우동
02,"면, 만두류",021,면류,02011025,볶음우동
02,"면, 만두류",021,면류,02011027,자장면
02,"면, 만두류",021,면류,02011028,잔치국수
02,"면, 만두류",021,면류,02011029,짬뽕
02,"면, 만두류",021,면류,02011030,짬뽕라면
02,"면, 만두류",021,면류,02011031,쫄면
02,"면, 만두류",021,면류,02011032,치즈라면
02,"면, 만두류",021,면류,02011033,콩국수
02,"면, 만두류",021,면류,02011034,크림소스스파게티
02,"면, 만두류",021,면류,02011035,토마토소스스파게티
02,"면, 만두류",021,면류,02011036,해물칼국수
02,"면, 만두류",021,면류,02011037,회냉면
02,"면, 만두류",021,면류,02011038,떡국
02,"면, 만두류",021,면류,02011039,떡만둣국
02,"면, 만두류",021,면류,02011040,짜장라면
02,"면, 만두류",022,만두류,02012001,고기만두
02,"면, 만두류",022,만두류,02012002,군만두
02,"면, 만두류",022,만두류,02012003,김치만두
02,"면, 만두류",022,만두류,02012004,물만두
02,"면, 만두류",022,만두류,02012005,만둣국
03,"죽, 스프류",031,죽류,03011001,게살죽
03,"죽, 스프류",031,죽류,03011002,깨죽
03,"죽, 스프류",031,죽류,03011003,닭죽
03,"죽, 스프류",031,죽류,03011004,소고기버섯죽
03,"죽, 스프류",031,죽류,03011005,어죽
03,"죽, 스프류",031,죽류,03011006,잣죽
03,"죽, 스프류",031,죽류,03011007,전복죽
03,"죽, 스프류",031,죽류,03011008,참치죽
